mode,threads,machines,total_ops,run,elapsed_ns,avg_ns_per_inc,counter
pthread,1,1,3000,1,1660463,553.488,3000
cxl,1,1,3000,1,500460948,166820.316,3000
pthread,1,1,3000,2,1428030,476.01,3000
cxl,1,1,3000,2,493137326,164379.109,3000
pthread,1,1,3000,3,1437363,479.121,3000
cxl,1,1,3000,3,507055762,169018.587,3000
pthread,2,1,3000,1,1530399,510.133,3000
cxl,2,2,3000,1,680823603,226941.201,3000
pthread,2,1,3000,2,1055409,351.803,3000
cxl,2,2,3000,2,708619736,236206.579,3000
pthread,2,1,3000,3,1560092,520.031,3000
cxl,2,2,3000,3,642035289,214011.763,3000
pthread,3,1,3000,1,1437662,479.221,3000
cxl,3,3,3000,1,515405425,171801.808,3000
pthread,3,1,3000,2,1415264,471.755,3000
cxl,3,3,3000,2,600419729,200139.91,3000
pthread,3,1,3000,3,1143874,381.291,3000
cxl,3,3,3000,3,452717805,150905.935,3000
pthread,4,1,3000,1,1296266,432.089,3000
cxl,4,4,3000,1,489948316,163316.105,3000
pthread,4,1,3000,2,1354721,451.574,3000
cxl,4,4,3000,2,1396600436,465533.479,3000
pthread,4,1,3000,3,1542937,514.312,3000
cxl,4,4,3000,3,892337813,297445.938,3000
pthread,5,1,3000,1,1349271,449.757,3000
cxl,5,5,3000,1,934059234,311353.078,3000
pthread,5,1,3000,2,1178973,392.991,3000
cxl,5,5,3000,2,701552104,233850.701,3000
pthread,5,1,3000,3,1046592,348.864,3000
cxl,5,5,3000,3,843822977,281274.326,3000
pthread,6,1,3000,1,1713396,571.132,3000
cxl,6,6,3000,1,710198986,236732.995,3000
pthread,6,1,3000,2,1710201,570.067,3000
cxl,6,6,3000,2,454088642,151362.881,3000
pthread,6,1,3000,3,1444499,481.5,3000
cxl,6,6,3000,3,456082306,152027.435,3000
pthread,7,1,3000,1,1441042,480.347,3000
cxl,7,7,3000,1,873903923,291301.308,3000
pthread,7,1,3000,2,1701436,567.145,3000
cxl,7,7,3000,2,551040260,183680.087,3000
pthread,7,1,3000,3,1490308,496.769,3000
cxl,7,7,3000,3,898389178,299463.059,3000
pthread,8,1,3000,1,1464818,488.273,3000
cxl,8,8,3000,1,468934667,156311.556,3000
pthread,8,1,3000,2,1540015,513.338,3000
cxl,8,8,3000,2,448224201,149408.067,3000
pthread,8,1,3000,3,1216631,405.544,3000
cxl,8,8,3000,3,542926803,180975.601,3000
pthread,9,1,3000,1,1435838,478.613,3000
cxl,9,8,3000,1,516045691,172015.23,3000
pthread,9,1,3000,2,1405794,468.598,3000
cxl,9,8,3000,2,652300054,217433.351,3000
pthread,9,1,3000,3,1370996,456.999,3000
cxl,9,8,3000,3,433753470,144584.49,3000
pthread,10,1,3000,1,1294677,431.559,3000
cxl,10,8,3000,1,729856616,243285.539,3000
pthread,10,1,3000,2,1750838,583.613,3000
cxl,10,8,3000,2,645763558,215254.519,3000
pthread,10,1,3000,3,1345556,448.519,3000
cxl,10,8,3000,3,544280162,181426.721,3000
pthread,11,1,3000,1,1424464,474.821,3000
cxl,11,8,3000,1,804408751,268136.25,3000
pthread,11,1,3000,2,1457352,485.784,3000
cxl,11,8,3000,2,306711679,102237.226,3000
pthread,11,1,3000,3,1373298,457.766,3000
cxl,11,8,3000,3,544941627,181647.209,3000
pthread,12,1,3000,1,1328081,442.694,3000
cxl,12,8,3000,1,563167222,187722.407,3000
pthread,12,1,3000,2,1721613,573.871,3000
cxl,12,8,3000,2,554825488,184941.829,3000
pthread,12,1,3000,3,1524759,508.253,3000
cxl,12,8,3000,3,376606420,125535.473,3000
pthread,13,1,3000,1,1367325,455.775,3000
cxl,13,8,3000,1,429538263,143179.421,3000
pthread,13,1,3000,2,1294448,431.483,3000
cxl,13,8,3000,2,432907781,144302.594,3000
pthread,13,1,3000,3,1325633,441.878,3000
cxl,13,8,3000,3,474275649,158091.883,3000
pthread,14,1,3000,1,1402542,467.514,3000
cxl,14,8,3000,1,431155004,143718.335,3000
pthread,14,1,3000,2,1273424,424.475,3000
cxl,14,8,3000,2,443714854,147904.951,3000
pthread,14,1,3000,3,1430106,476.702,3000
cxl,14,8,3000,3,620933240,206977.747,3000
pthread,15,1,3000,1,1066738,355.579,3000
cxl,15,8,3000,1,496708454,165569.485,3000
pthread,15,1,3000,2,1374677,458.226,3000
cxl,15,8,3000,2,431757620,143919.207,3000
pthread,15,1,3000,3,1343325,447.775,3000
cxl,15,8,3000,3,791451933,263817.311,3000
pthread,16,1,3000,1,1480844,493.615,3000
cxl,16,8,3000,1,480112696,160037.565,3000
pthread,16,1,3000,2,1425369,475.123,3000
cxl,16,8,3000,2,607865228,202621.743,3000
pthread,16,1,3000,3,1153734,384.578,3000
cxl,16,8,3000,3,413528414,137842.805,3000
pthread,17,1,3000,1,1486242,495.414,3000
cxl,17,8,3000,1,497962152,165987.384,3000
pthread,17,1,3000,2,1425676,475.225,3000
cxl,17,8,3000,2,430260561,143420.187,3000
pthread,17,1,3000,3,1550917,516.972,3000
cxl,17,8,3000,3,800599569,266866.523,3000
pthread,18,1,3000,1,1663749,554.583,3000
cxl,18,8,3000,1,510620527,170206.842,3000
pthread,18,1,3000,2,1536576,512.192,3000
cxl,18,8,3000,2,569443217,189814.406,3000
pthread,18,1,3000,3,1414944,471.648,3000
cxl,18,8,3000,3,502577887,167525.962,3000
pthread,19,1,3000,1,1738760,579.587,3000
cxl,19,8,3000,1,738476158,246158.719,3000
pthread,19,1,3000,2,1097423,365.808,3000
cxl,19,8,3000,2,634033771,211344.59,3000
pthread,19,1,3000,3,1803997,601.332,3000
cxl,19,8,3000,3,1240332795,413444.265,3000
pthread,20,1,3000,1,1409068,469.689,3000
cxl,20,8,3000,1,501339625,167113.208,3000
pthread,20,1,3000,2,1384580,461.527,3000
cxl,20,8,3000,2,614150921,204716.974,3000
pthread,20,1,3000,3,1530524,510.175,3000
cxl,20,8,3000,3,498071746,166023.915,3000
pthread,21,1,3000,1,1488161,496.054,3000
cxl,21,8,3000,1,644213183,214737.728,3000
pthread,21,1,3000,2,1315146,438.382,3000
cxl,21,8,3000,2,794989131,264996.377,3000
pthread,21,1,3000,3,1489036,496.345,3000
cxl,21,8,3000,3,577592582,192530.861,3000
pthread,22,1,3000,1,1088534,362.845,3000
cxl,22,8,3000,1,604083569,201361.19,3000
pthread,22,1,3000,2,1117483,372.494,3000
cxl,22,8,3000,2,839206238,279735.413,3000
pthread,22,1,3000,3,1218523,406.174,3000
cxl,22,8,3000,3,652899513,217633.171,3000
pthread,23,1,3000,1,1416707,472.236,3000
cxl,23,8,3000,1,611234215,203744.738,3000
pthread,23,1,3000,2,1464918,488.306,3000
cxl,23,8,3000,2,706868634,235622.878,3000
pthread,23,1,3000,3,1430839,476.946,3000
cxl,23,8,3000,3,792747817,264249.272,3000
pthread,24,1,3000,1,1095859,365.286,3000
cxl,24,8,3000,1,575841107,191947.036,3000
pthread,24,1,3000,2,2181432,727.144,3000
cxl,24,8,3000,2,822345674,274115.225,3000
pthread,24,1,3000,3,1084721,361.574,3000
cxl,24,8,3000,3,818248067,272749.356,3000
pthread,25,1,3000,1,1375621,458.54,3000
cxl,25,8,3000,1,734822085,244940.695,3000
pthread,25,1,3000,2,1166269,388.756,3000
cxl,25,8,3000,2,749284279,249761.426,3000
pthread,25,1,3000,3,1551545,517.182,3000
cxl,25,8,3000,3,710625989,236875.33,3000
pthread,26,1,3000,1,1405578,468.526,3000
cxl,26,8,3000,1,862102062,287367.354,3000
pthread,26,1,3000,2,1464590,488.197,3000
cxl,26,8,3000,2,657748513,219249.504,3000
pthread,26,1,3000,3,1247003,415.668,3000
cxl,26,8,3000,3,783336690,261112.23,3000
pthread,27,1,3000,1,1372806,457.602,3000
cxl,27,8,3000,1,864357623,288119.208,3000
pthread,27,1,3000,2,1668165,556.055,3000
cxl,27,8,3000,2,835290712,278430.237,3000
pthread,27,1,3000,3,1044802,348.267,3000
cxl,27,8,3000,3,978032846,326010.949,3000
pthread,28,1,3000,1,1317922,439.307,3000
cxl,28,8,3000,1,833796389,277932.13,3000
pthread,28,1,3000,2,1563870,521.29,3000
cxl,28,8,3000,2,662274398,220758.133,3000
pthread,28,1,3000,3,1623632,541.211,3000
cxl,28,8,3000,3,920438285,306812.762,3000
pthread,29,1,3000,1,1353482,451.161,3000
cxl,29,8,3000,1,763435280,254478.427,3000
pthread,29,1,3000,2,1341537,447.179,3000
cxl,29,8,3000,2,1008985698,336328.566,3000
pthread,29,1,3000,3,1719553,573.184,3000
cxl,29,8,3000,3,879866375,293288.792,3000
pthread,30,1,3000,1,1296990,432.33,3000
cxl,30,8,3000,1,749995004,249998.335,3000
pthread,30,1,3000,2,1260475,420.158,3000
cxl,30,8,3000,2,797535265,265845.088,3000
pthread,30,1,3000,3,1417948,472.649,3000
cxl,30,8,3000,3,1023676997,341225.666,3000
pthread,31,1,3000,1,1265275,421.758,3000
cxl,31,8,3000,1,848280532,282760.177,3000
pthread,31,1,3000,2,1346095,448.698,3000
cxl,31,8,3000,2,1104079437,368026.479,3000
pthread,31,1,3000,3,1140316,380.105,3000
cxl,31,8,3000,3,1129051112,376350.371,3000
pthread,32,1,3000,1,1461504,487.168,3000
cxl,32,8,3000,1,656014806,218671.602,3000
pthread,32,1,3000,2,1308601,436.2,3000
cxl,32,8,3000,2,849834156,283278.052,3000
pthread,32,1,3000,3,1388405,462.802,3000
cxl,32,8,3000,3,1114957936,371652.645,3000
