mode,threads,machines,total_ops,avg_ns_per_inc_mean,avg_ns_per_inc_stdev
cxl,1,1,3000,166739.33733333333,1894.9243056935616
cxl,2,2,3000,225719.8476666667,9102.059924072031
cxl,3,3,3000,174282.551,20176.085480079186
cxl,4,4,3000,308765.174,123639.06910730588
cxl,5,5,3000,275492.70166666666,31903.23907391824
cxl,6,6,3000,180041.10366666666,40088.1388544258
cxl,7,7,3000,258148.15133333334,52762.18973855934
cxl,8,8,3000,162231.74133333334,13550.24591403049
cxl,9,8,3000,178011.02366666668,30041.09733370005
cxl,10,8,3000,213322.25966666665,25290.69078650247
cxl,11,8,3000,184006.89500000002,67748.54305716147
cxl,12,8,3000,166066.56966666668,28682.285488381494
cxl,13,8,3000,148524.63266666667,6780.589384533977
cxl,14,8,3000,166200.34433333334,28884.59063886798
cxl,15,8,3000,191102.00100000002,52171.64533643663
cxl,16,8,3000,166834.03766666667,26879.009563021737
cxl,17,8,3000,192091.3646666667,53670.67990961485
cxl,18,8,3000,175849.06999999998,9935.449548234572
cxl,19,8,3000,290315.858,88217.38057123587
cxl,20,8,3000,179284.69900000002,17988.831693890526
cxl,21,8,3000,224088.32200000001,30313.78078697531
cxl,22,8,3000,232909.92466666666,33770.44180598809
cxl,23,8,3000,234538.9626666667,24712.76071151184
cxl,24,8,3000,246270.539,38416.56442364888
cxl,25,8,3000,243859.15033333332,5316.024308936173
cxl,26,8,3000,255909.696,28051.26428727105
cxl,27,8,3000,297520.1313333334,20530.69341654335
cxl,28,8,3000,268501.00833333336,35759.001990179684
cxl,29,8,3000,294698.59500000003,33430.04608585852
cxl,30,8,3000,285689.6963333333,39799.18625862799
cxl,31,8,3000,342379.009,42293.62159388483
cxl,32,8,3000,291200.7663333334,62705.007408487276
pthread,1,1,3000,502.87300000000005,35.81273748263322
pthread,2,1,3000,460.6556666666666,77.07645503582067
pthread,3,1,3000,444.089,44.50937648031779
pthread,4,1,3000,465.9916666666666,35.081403110796785
pthread,5,1,3000,397.204,41.29698446618107
pthread,6,1,3000,540.8996666666667,42.00415738418704
pthread,7,1,3000,514.7536666666666,37.64801346979973
pthread,8,1,3000,469.0516666666667,46.05779955905647
pthread,9,1,3000,468.07,8.831773585564028
pthread,10,1,3000,487.897,68.03467200381486
pthread,11,1,3000,472.79033333333336,11.528075477815973
pthread,12,1,3000,508.2726666666667,53.55278780376941
pthread,13,1,3000,443.0453333333333,9.951459401626577
pthread,14,1,3000,456.23033333333336,22.765554863043022
pthread,15,1,3000,420.52666666666664,46.12270160006771
pthread,16,1,3000,451.10533333333336,47.64383889048219
pthread,17,1,3000,495.8703333333333,17.046195711132196
pthread,18,1,3000,512.8076666666667,33.86087063591574
pthread,19,1,3000,515.5756666666666,106.27315979849077
pthread,20,1,3000,480.4636666666667,21.271687871179594
pthread,21,1,3000,476.92699999999996,27.255689791307795
pthread,22,1,3000,380.5043333333333,18.57372050924517
pthread,23,1,3000,479.16266666666667,6.745192526697969
pthread,24,1,3000,484.66799999999995,171.4631207539005
pthread,25,1,3000,454.826,52.49542656905141
pthread,26,1,3000,457.4636666666667,30.625646924686432
pthread,27,1,3000,453.9746666666667,84.86786355401094
pthread,28,1,3000,500.60266666666666,44.09898429921285
pthread,29,1,3000,490.508,58.48335839079922
pthread,30,1,3000,441.71233333333333,22.432824228992853
pthread,31,1,3000,416.85366666666664,28.21688946161302
pthread,32,1,3000,462.0566666666667,20.814272304252096
